UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo,Currency
338,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,5493,DFW,DFW,GB,0,12:20,FSD,FSD,US,N,0,14:24,CR9,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
338,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,4008,FSD,FSD,GB,N,19:19,ORD,ORD,US,3,0,21:01,ER4,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
338,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,4008,ORD,ORD,GB,5,20:35,LHR,LON,US,5,0,10:15,777,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
337,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5493,LHR,LON,GB,5,15:45,DFW,DFW,US,D,0,20:10,789,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
337,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,5493,DFW,DFW,GB,0,12:20,FSD,FSD,US,N,0,14:24,CR9,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
337,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,4008,FSD,FSD,GB,N,12:26,ORD,ORD,US,3,0,14:09,E75,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
337,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,4008,ORD,ORD,GB,5,20:35,LHR,LON,US,5,0,10:15,777,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
336,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5493,LHR,LON,GB,5,15:45,DFW,DFW,US,D,0,20:10,789,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
336,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,5493,DFW,DFW,GB,0,08:55,FSD,FSD,US,N,0,11:05,CR9,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
336,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,4008,FSD,FSD,GB,N,19:19,ORD,ORD,US,3,0,21:01,ER4,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
336,AY,1,1001,2,LHR,FSD,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,4,AY,4008,ORD,ORD,GB,5,20:35,LHR,LON,US,5,0,10:15,777,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
335,AY,1,1001,2,LHR,FAR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,1,AY,5963,LHR,LON,GB,5,11:50,ORD,ORD,US,5,0,14:45,789,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
335,AY,1,1001,2,LHR,FAR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,2,AY,4869,ORD,ORD,GB,3,22:00,FAR,FAR,US,N,0,23:54,ER4,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
335,AY,1,1001,2,LHR,FAR,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,AA,3,AY,4149,FAR,FAR,GB,N,15:53,ORD,ORD,US,3,0,17:45,CR7,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
